fullStreetName,CoordList
AGRICULTURE DR,"[(-89.2916434036207, 43.05159755137394), (-89.29167659346498, 43.05006412604573), (-89.29168900517683, 43.049454447955405), (-89.29172752407005, 43.04756220379929)]"
AGRICULTURE DR,"[(-89.2903394047177, 43.04545474286082), (-89.28814931926553, 43.04518013662837), (-89.28811468740447, 43.045175354264096), (-89.2880801990629, 43.045170041893954), (-89.28804587018585, 43.045164204037256), (-89.2880117142697, 43.04515784251022), (-89.28797774603802, 43.04515095913044), (-89.28794398143583, 43.04514355841744), (-89.2879104339594, 43.045135642187354), (-89.28787712078093, 43.04512721496114), (-89.28784405294022, 43.045118279452296), (-89.28781124638216, 43.04510884018028), (-89.28777871582423, 43.045098901663195), (-89.28774647475885, 43.045088467517495), (-89.2877145379034, 43.04507754226131), (-89.287682917521, 43.04506613040983), (-89.28765162955423, 43.04505423738275), (-89.28762068626219, 43.04504186949551), (-89.28759010236617, 43.04502902946603), (-89.28755988889394, 43.04501572540857), (-89.28753006056277, 43.04500196184126), (-89.28750063085876, 43.04498774508108), (-89.28747161081549, 43.04497308054191), (-89.28744301391497, 43.04495797634099), (-89.28741485364716, 43.044942436995036), (-89.28738714103949, 43.04492647061834), (-89.28735988834875, 43.04491008442656), (-89.28733310783544, 43.04489328383509), (-89.28730681175222, 43.0448760778598), (-89.28728100867396, 43.04485847371203), (-89.28725571331358, 43.04484047771019), (-89.28723093423997, 43.04482209976597)]"
ATLAS AVE,"[(-89.31177112466405, 43.090334355171066), (-89.3117497138716, 43.0899170946233), (-89.31174806305518, 43.08989739162492), (-89.31174578461041, 43.08987772132447), (-89.31174288097294, 43.08985809542558), (-89.31173935458037, 43.08983852473183), (-89.31173520541374, 43.089819020044274), (-89.31173043591222, 43.0897995912663), (-89.31172504974114, 43.089780249202626), (-89.31171905056617, 43.089761004657944), (-89.31171243959652, 43.08974186843444), (-89.31170522172899, 43.08972284953781), (-89.31113017401361, 43.08813705050013)]"
ATLAS AVE,"[(-89.31113017401361, 43.08813705050013), (-89.31087265314727, 43.08743475383578), (-89.3108655680582, 43.0874152687545), (-89.31085779254018, 43.087395925217024), (-89.31084933025181, 43.08737673762836), (-89.31084018854105, 43.08735771769688), (-89.31083037229456, 43.08733887982873), (-89.31081989008985, 43.08732023483338), (-89.3108087455839, 43.08730179801587), (-89.31079694981017, 43.087283580187986), (-89.31078451011638, 43.08726559305798), (-89.31077143384526, 43.087247851034384), (-89.31075772957412, 43.08723036492666), (-89.31074340833304, 43.0872131473466), (-89.3094216885626, 43.08557288771151), (-89.30940828623496, 43.08555857549156), (-89.30939428283017, 43.085544575912884), (-89.30937969060246, 43.08553090338896), (-89.30936452426677, 43.0855175696354), (-89.30934879976137, 43.085504589069274), (-89.30933253057145, 43.08549197430513), (-89.30931573264174, 43.085479736159634), (-89.30929842313986, 43.08546788815109), (-89.30928061801036, 43.08545644109611), (-89.30926233565386, 43.085445405813964), (-89.30924359324115, 43.08543479402254), (-89.30922440917603, 43.08542461474093), (-89.30920480186057, 43.08541487788817), (-89.30918478969517, 43.08540559428338), (-89.30916439354291, 43.085396771147806), (-89.30914363180567, 43.08538841840057), (-89.30912252411683, 43.0853805441617), (-89.30910109379528, 43.08537315565497), (-89.30907935924952, 43.08536625919903), (-89.30905734134073, 43.08535986291528), (-89.30903506338942, 43.085353973127354), (-89.309012545037, 43.08534859345483), (-89.30898980960234, 43.08534373112156), (-89.30896687918104, 43.08533939064974), (-89.30894377464254, 43.085335575660324), (-89.30892051931215, 43.085332289776666), (-89.30889713528889, 43.08532953572092), (-89.30887364589645, 43.08532731801657), (-89.30885007323702, 43.08532563758553), (-89.308826440641, 43.08532449535097), (-89.30880277143532, 43.08532389403634), (-89.30877908772551, 43.085323832763315), (-89.30875541406826, 43.08532431335648), (-89.30802613181483, 43.08534060276396), (-89.3079996118034, 43.085341616821836), (-89.3079730657309, 43.08534211598941), (-89.3079465107922, 43.0853420993838), (-89.30791996540495, 43.0853415688236), (-89.30789344799366, 43.08534052252703), (-89.30786697820409, 43.08533896231385), (-89.30784057445406, 43.08533689000275), (-89.30781425393658, 43.085334305610964), (-89.30778803629582, 43.08533121185853), (-89.30776193994947, 43.085327610564036), (-89.30773598208552, 43.085323504445135), (-89.30771018234977, 43.08531889532173), (-89.30768455669703, 43.08531378861058), (-89.30765912600278, 43.08530818523267), (-89.30763390499217, 43.0853020915037), (-89.3076089145356, 43.085295511045025), (-89.30758416936308, 43.08528844747201), (-89.30755968788557, 43.0852809062038), (-89.3075354872859, 43.08527289265845)]"
BASSETT ST,"[(-89.39263350438567, 43.07159802873485), (-89.39353045368075, 43.07228392041988)]"
BASSETT ST,"[(-89.39178200003906, 43.070952476548214), (-89.39263350438567, 43.07159802873485)]"
BASSETT ST,"[(-89.39066487733228, 43.07010478894427), (-89.39178200003906, 43.070952476548214)]"
BASSETT ST,"[(-89.39066487733228, 43.07010478894427), (-89.38954411727185, 43.06925661040735)]"
BASSETT ST,"[(-89.38954411727185, 43.06925661040735), (-89.3886849751485, 43.068602095585454)]"
BEDFORD ST,"[(-89.39357352915336, 43.06968128677818), (-89.3940478816374, 43.07004025770545), (-89.39405734936278, 43.070046702074706), (-89.39406629267287, 43.07005353605875), (-89.39407468333984, 43.07006073804842), (-89.3940824906815, 43.07006828373348), (-89.39408969015489, 43.07007614790506), (-89.3940962572176, 43.07008430355421), (-89.39410216978243, 43.070092724572646), (-89.39410740821866, 43.07010138215228), (-89.39411195535152, 43.07011024658556), (-89.39411579523293, 43.07011928996553), (-89.39411891560029, 43.07012847988544), (-89.39412130664456, 43.070137787539736), (-89.39412295855804, 43.070147181422364), (-89.39412386767235, 43.070156628228666), (-89.39412403031713, 43.07016609915447), (-89.39412344528004, 43.07017555999556), (-89.39412370703354, 43.070320155335985), (-89.39412465393404, 43.0708408904343)]"
