Ticket #,Date Issue,Location,Type,Hour,Day
24P1400001,2024-01-02 10:57:00,MAIN ST,048,10,Tuesday
24P1400002,2024-01-02 11:01:00,BRITTINGHAM PL,048,11,Tuesday
24P1400003,2024-01-02 11:02:00,BRITTINGHAM PL,W048,11,Tuesday
24P1400004,2024-01-02 11:28:00,DOTY ST,Parking,11,Tuesday
24P1400005,2024-01-02 11:33:00,DOTY ST,Parking,11,Tuesday
24P1400006,2024-01-02 11:36:00,DOTY ST,Parking,11,Tuesday
24P1400007,2024-01-02 11:37:00,DOTY ST,Parking,11,Tuesday
24P1400008,2024-01-02 11:44:00,DOTY ST,Parking,11,Tuesday
24P1400009,2024-01-02 11:45:00,DOTY ST,Parking,11,Tuesday
24P1400010,2024-01-02 11:50:00,DOTY ST,Parking,11,Tuesday
24P1400011,2024-01-02 12:49:00,MAIN ST,Parking,12,Tuesday
24P1400012,2024-01-02 13:10:00,MAIN ST,050,13,Tuesday
24P1400013,2024-01-02 13:10:00,MAIN ST,TOW,13,Tuesday
24P1400014,2024-01-02 13:23:00,MAIN ST,Parking,13,Tuesday
24P1400015,2024-01-02 13:27:00,MAIN ST,Parking,13,Tuesday
24P1400016,2024-01-02 13:31:00,MAIN ST,Parking,13,Tuesday
24P1400017,2024-01-03 09:01:00,LAKE ST,Meter,9,Wednesday
24P1400018,2024-01-03 09:06:00,FRANCES ST,Meter,9,Wednesday
24P1400019,2024-01-03 10:18:00,HENRY ST,Meter,10,Wednesday
24P1400020,2024-01-03 10:22:00,GILMAN ST,Meter,10,Wednesday
24P1400021,2024-01-03 10:27:00,BROOM ST,Meter,10,Wednesday
24P1400022,2024-01-03 11:29:00,LANGDON ST,Meter,11,Wednesday
24P1400023,2024-01-03 11:31:00,LANGDON ST,Meter,11,Wednesday
24P1400024,2024-01-03 11:35:00,LANGDON ST,Meter,11,Wednesday
24P1400025,2024-01-03 11:37:00,LANGDON ST,Meter,11,Wednesday
24P1400026,2024-01-03 12:51:00,FRANCES ST,Meter,12,Wednesday
24P1400027,2024-01-03 12:56:00,FRANCES ST,Meter,12,Wednesday
24P1400028,2024-01-03 13:01:00,GILMAN ST,Meter,13,Wednesday
24P1400029,2024-01-03 13:04:00,GILMAN ST,Meter,13,Wednesday
24P1400030,2024-01-03 13:06:00,GILMAN ST,Meter,13,Wednesday
24P1400031,2024-01-03 13:38:00,LANGDON ST,Meter,13,Wednesday
24P1400032,2024-01-03 14:00:00,GILMAN ST,Meter,14,Wednesday
24P1400033,2024-01-03 14:05:00,HENRY ST,Meter,14,Wednesday
24P1400034,2024-01-03 14:33:00,FRANCES ST,010,14,Wednesday
24P1400035,2024-01-03 14:39:00,LAKE ST,Meter,14,Wednesday
24P1400036,2024-01-03 15:03:00,LANGDON ST,Meter,15,Wednesday
24P1400037,2024-01-04 08:57:00,GILMAN ST,Meter,8,Thursday
24P1400038,2024-01-04 09:01:00,GILMAN ST,Meter,9,Thursday
24P1400039,2024-01-04 09:04:00,GILMAN ST,Meter,9,Thursday
24P1400040,2024-01-04 09:07:00,FRANCES ST,Meter,9,Thursday
24P1400041,2024-01-04 09:50:00,LANGDON ST,Meter,9,Thursday
24P1400042,2024-01-04 09:52:00,LANGDON ST,Meter,9,Thursday
24P1400043,2024-01-04 09:57:00,LANGDON ST,Meter,9,Thursday
24P1400044,2024-01-04 10:19:00,GILMAN ST,Meter,10,Thursday
24P1400045,2024-01-04 10:53:00,LAKE ST,Meter,10,Thursday
24P1400046,2024-01-04 11:03:00,GILMAN ST,Meter,11,Thursday
24P1400047,2024-01-04 11:06:00,FRANCES ST,Meter,11,Thursday
24P1400048,2024-01-04 11:32:00,GILMAN ST,Meter,11,Thursday
24P1400049,2024-01-04 13:05:00,LANGDON ST,W080,13,Thursday
24P1400050,2024-01-04 13:08:00,LANGDON ST,Meter,13,Thursday
24P1400051,2024-01-04 13:45:00,HENRY ST,Meter,13,Thursday
24P1400052,2024-01-04 13:51:00,GILMAN ST,045,13,Thursday
24P1400053,2024-01-04 13:53:00,GILMAN ST,088,13,Thursday
24P1400054,2024-01-04 14:09:00,FRANCES ST,010,14,Thursday
24P1400055,2024-01-04 14:21:00,LAKE ST,Meter,14,Thursday
24P1400056,2024-01-04 14:29:00,LAKE ST,Meter,14,Thursday
24P1400057,2024-01-04 14:33:00,LANGDON ST,Meter,14,Thursday
24P1400058,2024-01-04 14:36:00,LANGDON ST,Meter,14,Thursday
24P1400059,2024-01-04 14:44:00,LANGDON ST,Meter,14,Thursday
24P1400060,2024-01-04 14:49:00,LANGDON ST,Meter,14,Thursday
24P1400061,2024-01-05 08:47:00,LAKE ST,Meter,8,Friday
24P1400062,2024-01-05 09:00:00,GILMAN ST,Meter,9,Friday
24P1400063,2024-01-05 09:02:00,GILMAN ST,Meter,9,Friday
24P1400064,2024-01-05 09:42:00,LANGDON ST,Meter,9,Friday
24P1400065,2024-01-05 09:43:00,LANGDON ST,Meter,9,Friday
24P1400066,2024-01-05 09:49:00,LANGDON ST,Meter,9,Friday
24P1400067,2024-01-05 09:53:00,LANGDON ST,Meter,9,Friday
24P1400068,2024-01-05 10:23:00,HENRY ST,Meter,10,Friday
24P1400069,2024-01-05 10:27:00,GILMAN ST,Meter,10,Friday
24P1400070,2024-01-05 10:53:00,GILMAN ST,Meter,10,Friday
24P1400071,2024-01-05 12:17:00,LANGDON ST,010,12,Friday
24P1400072,2024-01-05 12:51:00,GILMAN ST,Meter,12,Friday
24P1400073,2024-01-05 12:58:00,BROOM ST,Meter,12,Friday
24P1400074,2024-01-05 13:04:00,GILMAN ST,Meter,13,Friday
24P1400075,2024-01-05 14:54:00,LAKE ST,Meter,14,Friday
24P1400076,2024-01-05 15:00:00,FRANCES ST,Meter,15,Friday
24P1400077,2024-01-08 08:16:00,BRITTINGHAM PL,048,8,Monday
24P1400078,2024-01-08 08:19:00,CLARK CT,048,8,Monday
24P1400079,2024-01-08 08:23:00,BRITTINGHAM PL,048,8,Monday
24P1400080,2024-01-08 08:30:00,WASHINGTON AVE,048,8,Monday
24P1400081,2024-01-08 08:32:00,WASHINGTON AVE,048,8,Monday
24P1400082,2024-01-08 08:36:00,WASHINGTON AVE,048,8,Monday
24P1400083,2024-01-08 08:38:00,WASHINGTON AVE,048,8,Monday
24P1400084,2024-01-08 08:50:00,BRAXTON PL,048,8,Monday
24P1400085,2024-01-08 08:52:00,BRAXTON PL,048,8,Monday
24P1400086,2024-01-08 12:37:00,HAMILTON ST,Parking,12,Monday
24P1400087,2024-01-08 12:41:00,HAMILTON ST,Parking,12,Monday
24P1400088,2024-01-08 12:45:00,HAMILTON ST,Parking,12,Monday
24P1400089,2024-01-09 08:11:00,CAROMAR DR,072,8,Tuesday
24P1400090,2024-01-09 08:11:00,CAROMAR DR,TOW,8,Tuesday
24P1400091,2024-01-09 09:23:00,RIDGEWAY AVE,W072,9,Tuesday
24P1400092,2024-01-10 01:08:00,FRANKLIN AVE,148,1,Wednesday
24P1400093,2024-01-10 01:08:00,FRANKLIN AVE,TOW,1,Wednesday
24P1400094,2024-01-10 01:11:00,FRANKLIN AVE,148,1,Wednesday
24P1400095,2024-01-10 01:11:00,FRANKLIN AVE,TOW,1,Wednesday
24P1400096,2024-01-10 01:12:00,FRANKLIN AVE,148,1,Wednesday
24P1400097,2024-01-10 01:12:00,FRANKLIN AVE,TOW,1,Wednesday
24P1400098,2024-01-10 01:20:00,FRANKLIN ST,148,1,Wednesday
24P1400099,2024-01-10 01:20:00,FRANKLIN ST,TOW,1,Wednesday
24P1400100,2024-01-10 01:25:00,HANCOCK ST,148,1,Wednesday
