Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num
01/02/2024 03:06 PM,JOHNSON ST,TOW AWAY ZONE,607TGF,101 NO STOP/STAND/PARK 3P-5:30P OR 3P-6P,24P0100001,1
01/02/2024 03:06 PM,JOHNSON ST,TOW AWAY ZONE,607TGF,TOW TOW FEE,24P0100002,2
01/02/2024 03:11 PM,JOHNSON ST,TOW AWAY ZONE,CV44027,101 NO STOP/STAND/PARK 3P-5:30P OR 3P-6P,24P0100003,3
01/02/2024 03:11 PM,JOHNSON ST,TOW AWAY ZONE,CV44027,TOW TOW FEE,24P0100004,4
01/02/2024 03:22 PM,JOHNSON ST,TOW AWAY ZONE,ASH8863,101 NO STOP/STAND/PARK 3P-5:30P OR 3P-6P,24P0100005,5
01/02/2024 03:22 PM,JOHNSON ST,TOW AWAY ZONE,ASH8863,TOW TOW FEE,24P0100006,6
01/02/2024 04:06 PM,WILLIAMSON ST,TOW AWAY ZONE,JBB569,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100007,7
01/02/2024 04:06 PM,WILLIAMSON ST,TOW AWAY ZONE,JBB569,TOW TOW FEE,24P0100008,8
01/02/2024 04:08 PM,WILLIAMSON ST,TOW AWAY ZONE,894PHP,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100009,9
01/02/2024 04:08 PM,WILLIAMSON ST,TOW AWAY ZONE,894PHP,TOW TOW FEE,24P0100010,10
01/02/2024 04:44 PM,WILLIAMSON ST,TOW AWAY ZONE,TY9690,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100011,11
01/02/2024 04:44 PM,WILLIAMSON ST,TOW AWAY ZONE,TY9690,TOW TOW FEE,24P0100012,12
01/02/2024 09:01 PM,ROSS ST,PER DOT REG. EXPIRED 8/31/23,433NLF,050 UNREG.VEH/IMPROPER DISPLAY,24P0100013,13
01/07/2024 02:35 PM,ERIN ST,NO PARKING HERE TO CORNER W/ARROW. MAJORITY IN VIOLATION.,AFP7947,075 RESTRICTED BY SIGNS,24P0100014,14
01/07/2024 02:48 PM,WEST LAWN AVE,BLOCKING DRIVEWAY,HC4216,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100015,15
01/07/2024 02:48 PM,WEST LAWN AVE,BLOCKING DRIVEWAY,HC4216,TOW TOW FEE,24P0100016,16
01/07/2024 05:22 PM,BUTLER ST,NO PARKING BETWEEN SIGNS W/ARROW(S),AKM8301,075 RESTRICTED BY SIGNS,24P0100017,17
01/07/2024 07:52 PM,RIDGEWAY AVE,APPROX. 2FT INTO DRIVEWAY,651WTB,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100018,18
01/07/2024 10:11 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,APH5111,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100019,19
01/07/2024 10:13 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,ASW7361,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100020,20
01/07/2024 10:14 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,ARK7004,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100021,21
01/07/2024 10:15 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,AMW8896,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100022,22
01/07/2024 10:17 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,ASG9910,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100023,23
01/07/2024 10:18 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,AHK3321,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100024,24
01/07/2024 10:19 PM,FREY ST,RESIDENT AND GUEST PARKING ONLY. 2 HOUR LIMIT.,TY2872,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100025,25
01/08/2024 03:34 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ALD9426,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100026,26
01/08/2024 03:35 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ARU2345,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100027,27
01/08/2024 03:36 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ARF4050,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100028,28
01/08/2024 03:38 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ANP6628,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100029,29
01/08/2024 03:39 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,AJX5814,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100030,30
01/08/2024 03:41 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,JM5637,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100031,31
01/08/2024 03:42 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,LPV770,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100032,32
01/08/2024 03:44 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ARE3209,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100033,33
01/08/2024 03:46 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,PELE10,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100034,34
01/08/2024 03:49 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ATP7062,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100035,35
01/08/2024 03:50 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,748PPX,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100036,36
01/08/2024 03:52 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,Not Found,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100037,37
01/08/2024 03:53 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,AMN2672,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100038,38
01/08/2024 03:59 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ASW8070,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100039,39
01/08/2024 04:03 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,ALY1932,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100040,40
01/08/2024 04:06 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,AUN7715,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100041,41
01/08/2024 04:07 PM,NORTHPORT DR,NO PARKING PRIVATE PROPERTY,AUG6598,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100042,42
01/08/2024 05:57 PM,WASHINGTON AVE,NO UNAUTHORIZED PARKING,523ZXD,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100043,43
01/08/2024 11:45 PM,MIFFLIN ST,APPROX. LEVEL WITH DRIVEWAY,AMR6200,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100044,44
01/08/2024 11:45 PM,MIFFLIN ST,APPROX. LEVEL WITH DRIVEWAY,AMR6200,TOW TOW FEE,24P0100045,45
01/13/2024 03:50 PM,HENRY ST,POSTED NO PARKING 9AM JAN 12 TO 11:59PM JAN 13. APPRVD 1/11 3:20PM.,AUV3511,151 RESTRICTED BY TEMP POSTING/BAGGED METER,24P0100046,46
01/13/2024 03:50 PM,HENRY ST,POSTED NO PARKING 9AM JAN 12 TO 11:59PM JAN 13. APPRVD 1/11 3:20PM.,AUV3511,TOW TOW FEE,24P0100047,47
01/13/2024 05:59 PM,MIFFLIN ST,APPROX. 2FT FROM HYDRANT AND LESS THAN 4FT FROM DRIVEWAY,AWB5333,071 LESS THAN 10' OF FIRE HYDRANT,24P0100048,48
01/13/2024 06:32 PM,BLOUNT ST,BLOCKING DRIVEWAY,ADW9661,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100049,49
01/13/2024 06:32 PM,BLOUNT ST,BLOCKING DRIVEWAY,ADW9661,TOW TOW FEE,24P0100050,50
01/13/2024 07:10 PM,MIFFLIN ST,BLOCKING >50% OF DRIVEWAY,P0WERZ1,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100051,51
01/13/2024 07:10 PM,MIFFLIN ST,BLOCKING >50% OF DRIVEWAY,P0WERZ1,TOW TOW FEE,24P0100052,52
01/13/2024 07:59 PM,MIFFLIN ST,POSTED NO PARKING ANY TIME WITH ARROWS.,ALX1222,046 NO PARKING ANYTIME,24P0100053,53
01/13/2024 10:07 PM,BRANDENBURG WAY,BLOCKING DRIVEWAY. ALSO AGAINST TRAFFIC & OBSTRUCTING TRAFFIC LANE.,APR5688,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100054,54
01/13/2024 10:07 PM,BRANDENBURG WAY,BLOCKING DRIVEWAY. ALSO AGAINST TRAFFIC & OBSTRUCTING TRAFFIC LANE.,APR5688,TOW TOW FEE,24P0100055,55
01/14/2024 12:02 AM,DANE ST,APPROX. 1FT FROM DRIVEWAY,204150H,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100056,56
01/14/2024 02:49 PM,PINCKNEY ST,BLOCKING DRIVEWAY,ACK2144,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100057,57
01/14/2024 02:49 PM,PINCKNEY ST,BLOCKING DRIVEWAY,ACK2144,TOW TOW FEE,24P0100058,58
01/14/2024 08:42 PM,STOUGHTON RD,CHALK & NOTE ON VEHICLE FROM 1/11/24 @ 7:50AM,ARL1776,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100059,59
01/14/2024 08:42 PM,STOUGHTON RD,CHALK & NOTE ON VEHICLE FROM 1/11/24 @ 7:50AM,ARL1776,TOW TOW FEE,24P0100060,60
01/21/2024 03:34 PM,MIFFLIN ST,NO PARKING HERE TO CORNER W/ARROW,160XEF,075 RESTRICTED BY SIGNS,24P0100061,61
01/21/2024 04:51 PM,MONROE ST,"POSTED BUS STOP, NO PARKING.",MM5359,045 BUS STOP OR TAXI STAND,24P0100062,62
01/21/2024 05:39 PM,WHITCOMB DR,PER DOT REG. EXPIRED 07/09/2023,ARD2919,050 UNREG.VEH/IMPROPER DISPLAY,24P0100063,63
01/21/2024 06:50 PM,ROWLEY AVE,CHALKED 1/19 @ 9:32AM. SNOW COVERED/PLOWED IN.,FER4482,004 STREET STORAGE(48 HR LIMIT),24P0100064,64
01/21/2024 07:28 PM,MADISON ST,CHALKED 1/19 @ 8:54AM. SNOW COVERED/PLOWED IN.,221ENP,004 STREET STORAGE(48 HR LIMIT),24P0100065,65
01/21/2024 07:50 PM,LANGDON ST,"POSTED BUS STOP, NO PARKING",ASM8842,045 BUS STOP OR TAXI STAND,24P0100066,66
01/21/2024 07:50 PM,LANGDON ST,"POSTED BUS STOP, NO PARKING",ASM8842,TOW TOW FEE,24P0100067,67
01/21/2024 08:59 PM,MOUND ST,"CHALKED 1/16/24 @ 2:56PM, STILL VISIBLE. SNOW COVERED & PLOWED IN.",960UFM,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100068,68
01/21/2024 08:59 PM,MOUND ST,"CHALKED 1/16/24 @ 2:56PM, STILL VISIBLE. SNOW COVERED & PLOWED IN.",960UFM,TOW TOW FEE,24P0100069,69
01/21/2024 10:33 PM,WOODLAND WAY,"CHALKED 1/16/24 @ 1:40PM, STILL VISIBLE. SNOW COVERED & PLOWED IN.",ABS3060,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100070,70
01/21/2024 10:33 PM,WOODLAND WAY,"CHALKED 1/16/24 @ 1:40PM, STILL VISIBLE. SNOW COVERED & PLOWED IN.",ABS3060,TOW TOW FEE,24P0100071,71
01/21/2024 11:15 PM,MADISON ST,PARKED AGAINST TRAFFIC. ALSO LESS THAN 15FT FROM CROSSWALK,AVS3551,080 AGAINST TRAFFIC-2 WAY STREET,24P0100072,72
01/22/2024 03:10 PM,JOHNSON ST,TOW AWAY ZONE,923NST,101 NO STOP/STAND/PARK 3P-5:30P OR 3P-6P,24P0100073,73
01/22/2024 03:10 PM,JOHNSON ST,TOW AWAY ZONE,923NST,TOW TOW FEE,24P0100074,74
01/22/2024 04:08 PM,WILLIAMSON ST,TOW AWAY ZONE,AVJ8127,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100075,75
01/22/2024 04:08 PM,WILLIAMSON ST,TOW AWAY ZONE,AVJ8127,TOW TOW FEE,24P0100076,76
01/22/2024 04:14 PM,WILLIAMSON ST,TOW AWAY ZONE,008401A25,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100077,77
01/22/2024 04:14 PM,WILLIAMSON ST,TOW AWAY ZONE,008401A25,TOW TOW FEE,24P0100078,78
01/22/2024 04:21 PM,WILLIAMSON ST,TOW AWAY ZONE,CJ80989,103 STOP/STAND/PARK 4P-5:30P OR 4P-6P,24P0100079,79
01/22/2024 04:21 PM,WILLIAMSON ST,TOW AWAY ZONE,CJ80989,TOW TOW FEE,24P0100080,80
01/22/2024 08:44 PM,CLYDE GALLAGHER AVE,"CHALKED 1/18/24 @ 7PM, STILL VISIBLE.",UH8810,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100081,81
01/22/2024 08:44 PM,CLYDE GALLAGHER AVE,"CHALKED 1/18/24 @ 7PM, STILL VISIBLE.",UH8810,TOW TOW FEE,24P0100082,82
01/22/2024 11:03 PM,BRANDIE RD,"CHALKED 1/19/24 @ 3AM, STILL VISIBLE.",Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100083,83
01/22/2024 11:03 PM,BRANDIE RD,"CHALKED 1/19/24 @ 3AM, STILL VISIBLE.",Not Found,TOW TOW FEE,24P0100084,84
01/22/2024 11:44 PM,WINNEBAGO ST,SNOW COVERED/PLOWED IN. LAST SNOW ENDED 1/14 @ 2AM,ALX6208,004 STREET STORAGE(48 HR LIMIT),24P0100085,85
01/23/2024 03:19 PM,BROOKS ST,METERS ENFORCED 8AM-6PM MON-SAT,AY60152,009 EXPIRED METER (ON STREET),24P0100086,86
01/23/2024 03:24 PM,BROOKS ST,METERS ENFORCED 8AM-6PM MON-SAT,AGM8962,009 EXPIRED METER (ON STREET),24P0100087,87
01/23/2024 03:28 PM,BROOKS ST,METERS ENFORCED 8AM-6PM MON-SAT,ARU2264,009 EXPIRED METER (ON STREET),24P0100088,88
01/23/2024 03:35 PM,MILLS ST,METERS ENFORCED 8AM-6PM MON-SAT,AGZ1331,009 EXPIRED METER (ON STREET),24P0100089,89
01/23/2024 03:42 PM,MILLS ST,METERS ENFORCED 8AM-6PM MON-SAT,323ZTU,009 EXPIRED METER (ON STREET),24P0100090,90
01/23/2024 03:50 PM,BROOKS ST,METERS ENFORCED 8AM-6PM MON-SAT,ARU1821,009 EXPIRED METER (ON STREET),24P0100091,91
01/23/2024 04:19 PM,ATWOOD AVE,.,634YLF,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100092,92
01/23/2024 05:18 PM,HENRY ST,METERS ENFORCED 8AM-6PM MON-SAT,ARE8167,010 OVER TIME LIMIT AT SAME METER,24P0100093,93
01/23/2024 05:24 PM,HENRY ST,METERS ENFORCED 8AM-6PM MON-SAT,AME2375,009 EXPIRED METER (ON STREET),24P0100094,94
01/23/2024 07:35 PM,WHITCOMB DR,"CHALKED 1/18/24 @ 2:27PM. STILL VISIBLE. PLOWED IN, MOT MOVED.",ARD2919,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100095,95
01/23/2024 07:35 PM,WHITCOMB DR,"CHALKED 1/18/24 @ 2:27PM. STILL VISIBLE. PLOWED IN, MOT MOVED.",ARD2919,TOW TOW FEE,24P0100096,96
01/23/2024 08:24 PM,SPRING ST,APPROX. 5FT FROM CROSSWALK,AKE3919,W074 WARNING - LESS 15' OF CROSSWALK,24P0100097,97
01/23/2024 10:05 PM,MAIN ST,NO PARKING HERE TO CORNER W/ARROW,MV22,075 RESTRICTED BY SIGNS,24P0100098,98
01/24/2024 03:09 PM,LIVINGSTON ST,APPROX. 2.5FT FROM CROSSWALK,FLN7185,074 LESS 15' OF CROSSWALK,24P0100099,99
01/24/2024 03:36 PM,FAIRCHILD ST,METERS ENFORCED 8AM-6PM MON-SAT,AMN2614,009 EXPIRED METER (ON STREET),24P0100100,100
01/24/2024 04:13 PM,BROOM ST,METERS ENFORCED 8AM-6PM MON-SAT,ASD5026,009 EXPIRED METER (ON STREET),24P0100101,101
01/24/2024 04:44 PM,MIFFLIN ST,METERS ENFORCED 8AM-6PM MON-SAT,AEM1601,009 EXPIRED METER (ON STREET),24P0100102,102
01/24/2024 05:20 PM,GILMAN ST,PERMIT PARKING ONLY,AWG1593,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P0100103,103
01/24/2024 06:33 PM,NORTH ST,BLOCKING DRIVEWAY,512KNA,072 LESS 4' OF DRIVEWAY/ALLEY/PRVT DRIVE,24P0100104,104
01/24/2024 06:33 PM,NORTH ST,BLOCKING DRIVEWAY,512KNA,TOW TOW FEE,24P0100105,105
01/24/2024 08:33 PM,ANN ST,"CHALKED 1/22/24 @ 4PM, STILL VISIBLE, NOT MOVED.",ATB1015,036 ABANDONMENT 48 HRS-PUB/PRIV,24P0100106,106
01/24/2024 08:33 PM,ANN ST,"CHALKED 1/22/24 @ 4PM, STILL VISIBLE, NOT MOVED.",ATB1015,TOW TOW FEE,24P0100107,107
01/24/2024 10:09 PM,MAIN ST,"CHALKED 1/23/24 @ 10:05PM, STILL VISIBLE, NOT MOVED.",MV22,075 RESTRICTED BY SIGNS,24P0100108,108
01/24/2024 10:09 PM,MAIN ST,"CHALKED 1/23/24 @ 10:05PM, STILL VISIBLE, NOT MOVED.",MV22,TOW TOW FEE,24P0100109,109
01/24/2024 10:13 PM,MAIN ST,"CHALKED 1/23/24 @ 10:05PM, STILL VISIBLE, NOT MOVED.",MV22,075 RESTRICTED BY SIGNS,24P0100110,110
01/24/2024 10:13 PM,MAIN ST,"CHALKED 1/23/24 @ 10:05PM, STILL VISIBLE, NOT MOVED.",MV22,TOW TOW FEE,24P0100111,111
